#
ADC,0,ADC0,ADC0
ADC,1,ADC1,ADC1
#
Pin,0,GPIO_JOYC,GPIO_JOYC
Pin,1,GPIO_JOYU,GPIO_JOYU
Pin,2,GPIO_JOYD,GPIO_JOYD
Pin,3,GPIO_JOYL,GPIO_JOYL
Pin,4,GPIO_JOYR,GPIO_JOYR
Pin,5,GPIO_SIM_STATUS,GPIO_SIM_STATUS
Pin,6,GPIO_SIM_NETLIGHT,GPIO_SIM_NETLIGHT
Pin,7,GPIO_BQ_INT,GPIO_BQ_INT
Pin,8,GPIO_LCD_TEAR,GPIO_LCD_TEAR
Pin,9,GPIO_CC_HOST_IRQ,GPIO_CC_HOST_IRQ
Pin,10,GPIO_ADC_SPK,GPIO_ADC_SPK
#
Pin,11,GPIO_ETHLED0,GPIO_ETHLED0
Pin,12,GPIO_ETHLED1,GPIO_ETHLED1
Pin,13,GPIO_LED1,GPIO_LED1
Pin,14,GPIO_LED2,GPIO_LED2
Pin,15,TIM_WS2812,TIM_WS2812
Pin,16,GPIO_SIM_PWR_KEY,GPIO_SIM_PWR_KEY
Pin,17,GPIO_PWM_MIC,GPIO_PWM_MIC
Pin,18,PWM_LCD_BLIGHT,PWM_LCD_BLIGHT
Pin,19,GPIO_LCD_DCX,GPIO_LCD_DCX
Pin,20,GPIO_LCD_RST,GPIO_LCD_RST
Pin,21,LCD_CS,LCD_CS
Pin,22,GPIO_MUX_A,GPIO_MUX_A
Pin,23,GPIO_MUX_B,GPIO_MUX_B
Pin,24,FLASH_CS,FLASH_CS
Pin,25,CC_RST,CC_RST
Pin,26,CC_nHIB_pin,CC_nHIB_pin
Pin,27,CC_CS_pin,CC_CS_pin
#
I2C,0,I2C5,I2C_EXTERNAL
I2C,1,I2C9,I2C_INTERNAL
#
NVSBdev,0,NVSMSP432E40
#
PWM,0,PWM0,PWM_LCDBL
#
#SD
#SDSPI
#
SPI,0,SPI2,SPI_CC
SPI,1,SPI3,SPI_FLASH
SPI,2,SPI0,SPI_LCD
#
UART,0,UART3
UART,1,UART2
#
#USB
#USBMSCHFatFs
#WATCHDOG
#

